Title,Author(s),Publisher,Publication Date,Place of Publication,Edition,Categories,Language,ISBN-10,Price,Monetary Units,Quantity,Book Binding Type,Location,ISBN-13,LC Control Number,Call Number,Dewey Class Number,Availability,Total Reserved
A beginner's guide to day trading online,"Turner, Toni.",Adams Media,1/1/2007,"Avon, Mass",2,Day trading (Securities) Electronic trading of securities.,UNKNOWN,1593376863,0,UNKNOWN,1,Hardcover,1. Stacks,9.78159E+12,2006032597,HG4515.95 .T87 2007,332.64/20285,1,0
A beginner's guide to short-term trading,"Turner, Toni.",Adams Media,1/1/2002,"Avon, Mass",1,Speculation. Stocks. Stock price forecasting. Investment analysis.,UNKNOWN,1580625703,15.95,UNKNOWN,1,Paperback,1. Stacks,9.78158E+12,2001046345,HG6041 .T87 2002,332.63/228,1,0
A course in mathematical statistics,"Roussas, George G.",Academic Press,1/1/1997,"San Diego, Calif",2,Mathematical statistics.,UNKNOWN,125993153,0,UNKNOWN,1,Hardcover,1. Stacks,9.78013E+12,96042115,QA276 .R687 1997,519.5,1,0
A first course in probability,"Ross, Sheldon M.",Prentice Hall,1/1/1998,"Upper Saddle River, N.J",5,Probabilities.,UNKNOWN,137463146,60,UNKNOWN,1,Hardcover,1. Stacks,9.78014E+12,97017297,QA273 .R83 1998,510.2,1,0
A first course in the theory of linear statistical models,"Myers, Raymond H. Milton, J. Susan",PWS-KENT Pub. Co.,1/1/1991,Boston,1,Linear models (Statistics),UNKNOWN,534916457,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,90039233,QA279 .M937 1991,519.5/3,1,0
"A practical guide to Linux commands, editors, and shell programming","Sobell, Mark G.",Prentice Hall,1/1/2010,"Upper Saddle River, NJ",2,Operating systems (Computers),UNKNOWN,131367366,0,UNKNOWN,1,Paperback,1. Stacks,9.78013E+12,2009038191,QA76.76.O63 S59483 2010,005.4/32,1,0
A practical study of argument,"Govier, Trudy.",Wadsworth Pub. Co.,1/1/1997,"Belmont, CA",4,Reasoning. Logic.,UNKNOWN,534505236,0,UNKNOWN,1,Paperback,1. Stacks,9.78053E+12,96021491,BC177 .G65 1997,168,1,0
A primer on linear models,"Monahan, John F.",Chapman & Hall/CRC,1/1/2008,Boca Raton,1,Linear models (Statistics),UNKNOWN,1420062018,0,UNKNOWN,1,Hardcover,1. Stacks,9.78142E+12,2007037035,QA279 .M659 2008,519.5,1,0
A second course in statistics : regression analysis,"Mendenhall, William. Sincich, Terry.",Pearson Education,1/1/2012,Boston,7,Commercial statistics. Statistics. Regression analysis.,UNKNOWN,321691695,0,UNKNOWN,1,Hardcover,1. Stacks,9.78032E+12,2010000433,HF1017 .M46 2012,519.5/36,1,0
Advanced sampling theory with applications : how Michael 'selected' Amy,"Singh, Sarjinder",Kluwer Academic Publishers,1/1/2003,Dordrecht Boston,1,Sampling (Statistics),UNKNOWN,1402017073,0,UNKNOWN,1,Hardcover,1. Stacks,9.7814E+12,2003062008,QA276.6 .S58 2003,519.5/2,1,0
American government : continuity and change,"O'Connor, Karen Sabato, Larry.",Allyn & Bacon,1/1/1997,Boston,1,N/A,UNKNOWN,205198112,0,UNKNOWN,1,Hardcover,1. Stacks,9.78021E+12,96016182,JK274 .O26 1997,320.473,1,0
An introduction to categorical data analysis,"Agresti, Alan.",Wiley,1/1/1996,New York,1,Multivariate analysis.,UNKNOWN,471113387,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,95021928,QA278 .A355 1996,519.5/35,1,0
An introduction to model-based survey sampling with applications,"Chambers, R. L. Clark, Robert G.",Oxford University Press,1/1/2012,Oxford New York,1,Sampling (Statistics),UNKNOWN,019856662X,0,UNKNOWN,1,Hardcover,1. Stacks,9.7802E+12,,QA276.6 .C426 2012,519.5/2,1,0
An introduction to modern nonparametric statistics,"Higgins, James J.",Brooks/Cole,1/1/2004,"Pacific Grove, CA",1,Nonparametric statistics.,UNKNOWN,534387756,76.95,UNKNOWN,1,Hardcover,UNKNOWN,9.78053E+12,2002117217,QA278.8 .H54 2004,519.5/4,1,0
Analysis of survey data,"Chambers, R. L. Skinner, C. J.",Wiley,1/1/2003,"Chichester, West Sussex, England Hoboken, NJ",1,Mathematical statistics.,UNKNOWN,471899879,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2002033132,QA276 .A485 2003,001.4/22,1,0
Analyzing complex survey data,"Lee, Eun Sul. Forthofer, Ron N. Lorimor, Ronald J.",Sage Publications,1/1/1989,Newbury Park,1,Mathematical statistics. Surveys.,UNKNOWN,803930143,0,UNKNOWN,1,Hardcover,1. Stacks,9.7808E+12,89061127,QA276 .L3394 1989,001.4/225,1,0
Applied Bayesian Statistics With R and Openbugs Examples.,N/A,Springer Verlag,1/1/2012,6,1,N/A,UNKNOWN,1461456959,0,UNKNOWN,1,Hardcover,1. Stacks,9.78146E+12,2012951150,QA279.5 .C69 2013,,1,0
Applied economics : thinking beyond stage one,"Sowell, Thomas",Basic Books,1/1/2009,New York,1,Economics. Economic policy. Equality. Social problems. Economic development.,UNKNOWN,465003451,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2008932670,HB74.P65 S69 2009,330,1,0
Applied linear statistical models,N/A,Irwin,1/1/1996,Chicago,4,Regression analysis. Analysis of variance. Experimental design. Linear models (Statistics),UNKNOWN,256117365,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78026E+12,95037447,QA278.2 .A66 1996,519.5/35,1,0
Applied linear statistical models.,"Kutner, Michael H.",McGraw-Hill Irwin,1/1/2005,Boston,5,Regression analysis. Analysis of variance. Experimental design. Linear models (Statistics),UNKNOWN,72386886,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,2004052447,QA278.2 .A66 2005,519.5/36,1,0
Applied longitudinal data analysis : modeling change and event occurrence,"Singer, Judith D. Willett, John B.",Oxford University Press,1/1/2003,Oxford New York,1,Longitudinal method. Social sciences.,UNKNOWN,195152964,0,UNKNOWN,1,Hardcover,1. Stacks,9.7802E+12,2002007055,H62 .S47755 2002,001.4/2,1,0
Applied medical statistics using SAS,"Der, Geoff. Everitt, Brian.",CRC Press,1/1/2013,"Boca Raton, FL",1,"Data Interpretation, Statistical. Mathematical Computing.",UNKNOWN,1439867976,0,UNKNOWN,1,Hardcover,1. Stacks,9.78144E+12,2012015698,R858 .D47 2013,610.285,1,0
Applied multivariate analysis,"Timm, Neil H.",Springer,1/1/2002,New York,1,Multivariate analysis.,UNKNOWN,387953477,0,UNKNOWN,1,Hardcover,2. Electronic - Statisticalcomp,9.78039E+12,2001049267,QA278 .T53 2002,519.5/35,1,0
Applied multivariate methods for data analysts,"Johnson, Dallas E.",Duxbury Press,1/1/1998,"Pacific Grove, Calif",1,Multivariate analysis.,UNKNOWN,534237967,85.95,UNKNOWN,1,Hardcover,Stacks,9.78053E+12,97047133,QA278 .J615 1998,519.5/35,1,0
Applied multivariate statistical analysis,"Johnson, Richard A. Wichern, Dean W.",Pearson Prentice Hall,1/1/2007,"Upper Saddle River, N.J",6,Multivariate analysis. Multivariate Analysis.,UNKNOWN,131877151,0,UNKNOWN,1,Hardcover,1. Stacks,9.78013E+12,2006050673,QA278 .J63 2007,519.5/35,1,0
Applied multivariate statistical analysis,"Johnson, Richard Arnold. Wichern, Dean W.",Prentice Hall,1/1/1992,"Englewood Cliffs, N.J",3,Multivariate analysis.,UNKNOWN,130417734,0,UNKNOWN,1,Hardcover,Stacks,9.78013E+12,91042721,QA278 .J63 1992,519.5/35,1,0
Applied numerical analysis,"Gerald, Curtis F. Wheatley, Patrick O.",Addison-Wesley,1/1/1999,"Reading, Mass",6,Numerical analysis.,UNKNOWN,020187072X,0,UNKNOWN,1,Hardcover,UNKNOWN,9.7802E+12,98003887,QA297 .G47 1999,519.4,1,0
Applied regression analysis,"Draper, Norman Richard. Smith, Harry",Wiley,1/1/1998,New York,3,Regression analysis.,UNKNOWN,471170828,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,97017969,QA278.2 .D7 1998,519.5/36,1,0
"Applied regression analysis, linear models, and related methods","Fox, John",Sage Publications,1/1/1997,"Thousand Oaks, Calif",1,Regression analysis. Linear models (Statistics) Social sciences.,UNKNOWN,080394540X,0,UNKNOWN,1,Hardcover,UNKNOWN,9.7808E+12,96038084,HA31.3 .F69 1997,300/.01/519536,1,0
Applied statistics and probability for engineers,"Montgomery, Douglas C. Runger, George C.",John Wiley Sons,1/1/1999,New York,2,Statistics. Probabilities.,UNKNOWN,471170275,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,98034994,QA276.12 .M645 1999,519.5,1,0
Applied statistics and the SAS programming language,"Cody, Ronald P. Smith, Jeffrey K.",Prentice Hall,1/1/1997,"Upper Saddle River, N.J",4,Mathematical statistics.,UNKNOWN,137436424,0,UNKNOWN,1,Paperback,UNKNOWN,9.78014E+12,97001737,QA276.4 .C53 1997,519.5/0285/5369,1,0
Applied statistics for science and industry,"Romano, Albert.",Allyn and Bacon,1/1/1977,Boston,2,Mathematical statistics.,UNKNOWN,205055753,17.95,UNKNOWN,1,Hardcover,UNKNOWN,9.78021E+12,76029728,QA276 .R638,,1,0
Applied survey data analysis,"Heeringa, Steven West, Brady T. Berglund, Patricia A.",Chapman & Hall/CRC,1/1/2010,"Boca Raton, FL",1,Social sciences. Social surveys.,UNKNOWN,1420080660,0,UNKNOWN,1,Hardcover,1. Stacks,9.78142E+12,2009051730,HA29 .H428 2010,001.4/22,1,0
Basic set theory,"Le´vy, Azriel",Dover Publications,1/1/2002,"Mineola, N.Y",1,Set theory.,UNKNOWN,486420795,24.95,UNKNOWN,1,Paperback,UNKNOWN,9.78049E+12,2002022292,QA248 .L398 2002,511.3/22,1,0
Bioinformatics for dummies,"Claverie, Jean-Michel. Notredame, Cedric.",Wiley Pub.,1/1/2003,"New York, NY",1,Bioinformatics.,UNKNOWN,764516965,0,UNKNOWN,1,Hardcover,1. Stacks,9.78076E+12,2002114813,QH324.2 .C44 2003,570/.285,1,0
Bootstrap methods and their application,"Davison, A. C. Hinkley, D. V.",Cambridge University Press,1/1/1997,"Cambridge New York, NY, USA",1,Bootstrap (Statistics),UNKNOWN,521574714,44.95,UNKNOWN,1,Hardcover,UNKNOWN,9.78052E+12,96030064,QA276.8 .D38 1997,519.5/44,1,0
Building web applications with SAS,"Henderson, Don",SAS Institute,1/1/2007,"Cary, N.C",1,Web sites. Web site development. HTML editors (Computer programs),UNKNOWN,1599941899,0,UNKNOWN,1,Hardcover,1. Stacks,9.7816E+12,,TK5105.888 .H465 2007eb,005.2/76,1,0
Busting Vegas : the MIT whiz kid who brought the casinos to their knees,"Mezrich, Ben",William Morrow/Harper Collins,1/1/2005,New York,1,Cardsharping. Gambling. Gamblers.,UNKNOWN,60575115,0,UNKNOWN,1,Hardcover,1. Stacks,9.78006E+12,2005050616,GV1247 .M495 2005,795/.092 $a B,1,0
"Calculated bets : computers, gambling, and mathematical modeling to win","Skiena, Steven S.",Cambridge University Press,1/1/2001,Cambridge New York,1,Mathematical models. Gambling. Jai alai.,UNKNOWN,521009626,0,UNKNOWN,1,Paperback,UNKNOWN,9.78052E+12,2001025483,QA401 .S474 2001,511/.8,1,0
Calculus,"Hughes-Hallett, Deborah.",Wiley,1/1/1998,New York,2,Calculus.,UNKNOWN,471164429,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,97212976,QA303 .C155 1998,515,1,0
"Calculus, Student Solutions Manual Volume 2","Stewart, James",Brooks/Cole Pub. Co.,1/1/1995,"Pacific Grove, Calif",3,Calculus.,UNKNOWN,534218032,67.5,UNKNOWN,1,Hardcover,UNKNOWN,9.78053E+12,94029764,QA303 .S8825 1995Sol,515/.15,1,0
Categorical data analysis,"Agresti, Alan.",Wiley-Interscience,1/1/2002,New York,2,Multivariate analysis.,UNKNOWN,471360937,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2002068982,QA278 .A353 2002,519.5/35,1,0
Categorical data analysis using the SAS system,"Stokes, Maura Ellen. Davis, Charles S. Koch, Gary G.",SAS Institute,1/1/2001,"Cary, NC",2,Mathematical statistics. Statistics as Topic. Automatic Data Processing.,UNKNOWN,471224243,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,,QA276.4 .S74 2001,,1,0
CIA: the myth and the madness,"McGarvey, Patrick J.",Saturday Review Press,1/1/2000,New,1,N/A,UNKNOWN,841501912,0,UNKNOWN,1,Hardcover,1. Stacks,9.78084E+12,72082770,JK468.I6 M29,353/.093,1,0
Collective action and the civil rights movement,"Chong, Dennis.",University of Chicago Press,1/1/1991,Chicago,1,Public goods. Social choice. Civil rights movements.,UNKNOWN,226104419,0,UNKNOWN,1,Paperback,1. Stacks,9.78023E+12,90048848,HB846.5 .C48 1991,323.1/196073,1,0
Combined survey sampling inference : weighing Basu's elephants,"Brewer, Ken.",Arnold,1/1/2002,London,1,Sampling (Statistics) Inference.,UNKNOWN,340692294,0,UNKNOWN,1,Hardcover,1. Stacks,9.78034E+12,,HA31.2 .B74 2002,519.54,1,0
Complex adaptive systems : an introduction to computational models of social life,"Miller, John H. Page, Scott E.",Princeton University Press,1/1/2007,"Princeton, N.J",1,Social systems. Social sciences. Sociale relaties. Computermodellen.,UNKNOWN,691130965,0,UNKNOWN,1,Paperback,1. Stacks,9.78069E+12,2006933230,H61.25 .M55 2007,300.1/513,1,0
Complex surveys : a guide to analysis using R,"Lumley, Thomas",John Wiley,1/1/2010,"Hoboken, N.J",1,"Mathematical statistics. R (Computer program language) Models, Statistical. Statistics as Topic. Automatic Data Processing.",UNKNOWN,470284307,0,UNKNOWN,1,Paperback,1. Stacks,9.78047E+12,2009033999,QA276.45.R3 L86 2010,515.0285,1,0
Computer Laboratory Projects for Multivariate Calculus,"Gavosto, Estela. Uribe, Alejandro.","Hayden-McNeil Publishing, INc.",1/1/1999,"Plymouth, MI",1,Calculus.,UNKNOWN,073800023X,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78074E+12,,QA303 .G8825 1999,,1,0
Current topics in survey sampling,"Krewski, D. Platek, Richard. Rao, J. N. K.",Academic Press,1/1/1981,New York,1,Social surveys. Sampling (Statistics),UNKNOWN,124262805,0,UNKNOWN,1,Hardcover,1. Stacks,9.78012E+12,81017544,HN29 .I62 1980,001.4/33,1,0
Day trade futures online,"Williams, Larry R.",Wiley,1/1/2000,New York,1,Day trading (Securities),UNKNOWN,471383392,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,27520,HG4515.95 .W55 2000,332.64/5,1,0
Day trade online,"Farrell, Christopher A.",John Wiley,1/1/1999,New York,1,Electronic trading of securities. Day trading (securities),UNKNOWN,471331201,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,99010248,HG4515.95 .F367 1999,332.64/0285,1,0
Design and analysis of experiments,"Dean, Angela Voss, Daniel.",Springer,1/1/1999,New York,1,Experimental design.,UNKNOWN,387985611,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,98020302,QA279 .D43 1999,001.4/34,1,0
Design and analysis of experiments,"Hinkelmann, Klaus Kempthorne, Oscar.",J. Wiley,1/1/1994,New York,1,Experimental design.,UNKNOWN,471551783,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,93002342 //r94,QA279 .K45 1994,001.4/34,1,0
Design and analysis of experiments,"Montgomery, Douglas C.",Wiley,1/1/1997,New York,4,Experimental design.,UNKNOWN,471157465,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,96018037,QA279 .M66 1997,001.4/34,1,0
Design of experiments : an introduction based on linear models,"Morris, Max",Chapman & Hall/CRC,1/1/2011,Boca Raton,1,Experimental design. Linear models (Statistics),UNKNOWN,1584889233,0,UNKNOWN,1,Hardcover,1. Stacks,9.78158E+12,2010022635,QA279 .M67 2011,519.5/7,1,0
Design of experiments : statistical principles of research design and analysis,"Kuehl, R. O.",Duxbury/Thomson Learning,1/1/2000,"Pacific Grove, CA",2,Science. Research. Statistics. Numerical analysis.,UNKNOWN,534368344,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78053E+12,99023308,Q182.3 .K84 2000,001.4/22,1,0
Design of experiments for engineers and scientists,"Antony, Jiju.",Butterworth-Heinemann,1/1/2003,Oxford,1,"Experimental design. Research, Industrial.",UNKNOWN,750647094,0,UNKNOWN,1,Paperback,1. Stacks,9.78075E+12,,QA279 .A58 2003eb,658.5,1,0
Designing effective Web surveys,"Couper, Mick.",Cambridge University Press,1/1/2008,Cambridge New York,1,Social surveys. Internet surveys. Surveys.,UNKNOWN,521889456,0,UNKNOWN,1,Hardcover,1. Stacks,9.78052E+12,,HM538 .C68 2008eb,300.72/3,1,0
Dirty German : everyday slang from what's up? to f*%# off!,"Chaffey, Daniel. Mack, Lindsay.",Ulysses Press,1/1/2009,"Berkeley, CA",1,German language. Swearing.,UNKNOWN,1569756732,10,UNKNOWN,1,Hardcover,UNKNOWN,9.78157E+12,2008904138,PF3961 .C53 2009,,1,0
Discrete multivariate analysis: theory and practice,"Bishop, Yvonne M. M. Fienberg, Stephen E. Holland, Paul W.",MIT Press,1/1/2000,Cambridge,1,Multivariate analysis.,UNKNOWN,262520400,0,UNKNOWN,1,Paperback,1. Stacks,9.78026E+12,74005177,QA278 .B57,519.5/3,1,0
Dynamic documents with R and knitr,"Xie, Yihui",CRC Press,1/1/2014,"Boca Raton, FL",1,Statistics. Technical reports. Corporation reports. Mathematical statistics. Technical writing. R (Computer program language) MATHEMATICS / Probability & Statistics / General.,UNKNOWN,1482203537,0,UNKNOWN,1,Paperback,1. Stacks,9.78148E+12,2013018223,QA276.4 .X54 2013,005.5/5,1,0
Economic survey methods,"Lansing, John B.  Morgan, James N.","Research Center, University of Michigan",1/1/2000,"Ann Arbor, Survey Research Center, University of Michigan",1,Economic surveys.,UNKNOWN,879440090,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78088E+12,71633672,HC28 .L3 LANDOVR,330/.072/3,1,0
Economic survey methods,"Lansing, John B.  Morgan, James N.",Survey Research Center,1/1/1971,"Ann Arbor, MI",1,Economics Survey Reserach   Economic surveys,UNKNOWN,879440082,0,UNKNOWN,1,Hardcover,1. Stacks,9.78088E+12,71,HC28 .L3,,1,0
Elementary survey sampling,"Scheaffer, Richard L.","Brooks/Cole, Cengage Learning",1/1/2012,"Boston, MA",7,Sampling (Statistics),UNKNOWN,840053614,0,UNKNOWN,1,Hardcover,1. Stacks,9.78084E+12,2010939138,QA276.6 .S385 2012,519.5,1,0
Elementary survey sampling,"Scheaffer, Richard L. Mendenhall, William. Ott, Lyman.",Duxbury Press,1/1/1995,"Belmont, Calif",5,Sampling (Statistics),UNKNOWN,534243428,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,95023646,QA276.6 .S385 1995,519.5/2,1,0
Elementary survey sampling,"Scheaffer, Richard L. Mendenhall, William. Ott, Lyman.",PWS-KENT Pub. Co.,1/1/1990,Boston,4,Sampling (Statistics),UNKNOWN,053492185X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,89077274,QA276.6 .S385 1990,519.5/2,1,0
Elements of computational statistics,"Gentle, James E.",Springer,1/1/2002,New York,1,Statistics.,UNKNOWN,387954899,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,2002067018,QA276.4 .G455 2002,519.5,1,0
Elements of sampling theory and methods,"Govindarajulu, Z.",Prentice Hall,1/1/1999,"Upper Saddle River, NJ",1,Sampling (Statistics),UNKNOWN,137435762,0,UNKNOWN,1,Hardcover,1. Stacks,9.78014E+12,99017196,QA276.6 .G68 1999,519.5/2,1,0
